instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather_impact,day_type,holiday_type,day_holiday_type
7147,2011-10-30,4,0,10,9,0,0,0,1,0.3,0.2879,0.65,0.2537,55,92,147,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7148,2011-10-30,4,0,10,10,0,0,0,1,0.32,0.3333,0.61,0.0896,53,125,178,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7149,2011-10-30,4,0,10,11,0,0,0,1,0.36,0.3485,0.53,0.2239,58,182,240,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7150,2011-10-30,4,0,10,12,0,0,0,1,0.38,0.3939,0.5,0.194,85,229,314,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7151,2011-10-30,4,0,10,13,0,0,0,1,0.4,0.4091,0.43,0.2239,113,232,345,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7152,2011-10-30,4,0,10,14,0,0,0,1,0.42,0.4242,0.38,0.194,91,209,300,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7153,2011-10-30,4,0,10,15,0,0,0,1,0.42,0.4242,0.35,0.1642,88,202,290,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7154,2011-10-30,4,0,10,16,0,0,0,1,0.42,0.4242,0.32,0.1343,107,213,320,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7155,2011-10-30,4,0,10,17,0,0,0,1,0.4,0.4091,0.35,0.1045,54,191,245,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7156,2011-10-30,4,0,10,18,0,0,0,1,0.36,0.3485,0.4,0.1343,51,162,213,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7157,2011-10-30,4,0,10,19,0,0,0,1,0.56,0.5303,0.49,0.2985,28,125,153,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7158,2011-10-30,4,0,10,20,0,0,0,1,0.34,0.3636,0.57,0.0,18,74,92,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7159,2011-10-30,4,0,10,21,0,0,0,1,0.32,0.3485,0.66,0.0,4,75,79,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7160,2011-10-30,4,0,10,22,0,0,0,1,0.3,0.3333,0.75,0.0,13,58,71,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7161,2011-10-30,4,0,10,23,0,0,0,1,0.26,0.303,0.87,0.0,7,30,37,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7162,2011-10-31,4,0,10,0,0,1,1,1,0.26,0.303,0.87,0.0,3,20,23,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7163,2011-10-31,4,0,10,1,0,1,1,1,0.26,0.303,0.81,0.0,5,8,13,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7164,2011-10-31,4,0,10,2,0,1,1,1,0.24,0.2879,0.87,0.0,0,3,3,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7165,2011-10-31,4,0,10,3,0,1,1,1,0.24,0.2576,0.87,0.1045,0,3,3,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7166,2011-10-31,4,0,10,4,0,1,1,1,0.24,0.2879,0.87,0.0,1,5,6,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7167,2011-10-31,4,0,10,5,0,1,1,1,0.22,0.2727,0.93,0.0,0,18,18,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7168,2011-10-31,4,0,10,6,0,1,1,1,0.24,0.2879,0.87,0.0,4,82,86,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7169,2011-10-31,4,0,10,7,0,1,1,1,0.24,0.2879,0.93,0.0,11,216,227,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7170,2011-10-31,4,0,10,8,0,1,1,2,0.28,0.3182,0.87,0.0,17,355,372,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7171,2011-10-31,4,0,10,9,0,1,1,2,0.32,0.3182,0.76,0.1642,14,197,211,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7172,2011-10-31,4,0,10,10,0,1,1,2,0.36,0.3485,0.57,0.1642,18,87,105,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7173,2011-10-31,4,0,10,11,0,1,1,1,0.4,0.4091,0.5,0.1343,31,97,128,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7174,2011-10-31,4,0,10,12,0,1,1,1,0.42,0.4242,0.44,0.2239,30,140,170,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7175,2011-10-31,4,0,10,13,0,1,1,2,0.44,0.4394,0.44,0.2239,24,128,152,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7176,2011-10-31,4,0,10,14,0,1,1,2,0.44,0.4394,0.47,0.2239,22,119,141,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7177,2011-10-31,4,0,10,15,0,1,1,1,0.44,0.4394,0.47,0.1642,27,141,168,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7178,2011-10-31,4,0,10,16,0,1,1,1,0.42,0.4242,0.54,0.1642,30,242,272,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7179,2011-10-31,4,0,10,17,0,1,1,1,0.42,0.4242,0.54,0.1343,44,442,486,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7180,2011-10-31,4,0,10,18,0,1,1,1,0.4,0.4091,0.66,0.0896,30,392,422,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7181,2011-10-31,4,0,10,19,0,1,1,1,0.4,0.4091,0.66,0.0896,12,226,238,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7182,2011-10-31,4,0,10,20,0,1,1,1,0.4,0.4091,0.66,0.0896,18,154,172,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7183,2011-10-31,4,0,10,21,0,1,1,2,0.36,0.3485,0.76,0.194,7,109,116,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7184,2011-10-31,4,0,10,22,0,1,1,2,0.36,0.3485,0.76,0.194,8,77,85,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7185,2011-10-31,4,0,10,23,0,1,1,2,0.36,0.3485,0.76,0.194,6,46,52,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7186,2011-11-01,4,0,11,0,0,2,1,2,0.36,0.3485,0.87,0.1642,3,18,21,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7187,2011-11-01,4,0,11,1,0,2,1,1,0.36,0.3485,0.81,0.1343,3,8,11,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7188,2011-11-01,4,0,11,2,0,2,1,2,0.36,0.3485,0.81,0.1642,1,3,4,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7189,2011-11-01,4,0,11,3,0,2,1,2,0.36,0.3485,0.81,0.1343,1,5,6,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7190,2011-11-01,4,0,11,4,0,2,1,1,0.34,0.3182,0.81,0.2239,1,7,8,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7191,2011-11-01,4,0,11,5,0,2,1,1,0.32,0.3182,0.81,0.194,0,18,18,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7192,2011-11-01,4,0,11,6,0,2,1,1,0.32,0.3182,0.81,0.194,3,90,93,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7193,2011-11-01,4,0,11,7,0,2,1,1,0.34,0.3333,0.76,0.194,8,246,254,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7194,2011-11-01,4,0,11,8,0,2,1,1,0.36,0.3333,0.71,0.2537,17,402,419,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7195,2011-11-01,4,0,11,9,0,2,1,1,0.4,0.4091,0.66,0.1642,16,206,222,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7196,2011-11-01,4,0,11,10,0,2,1,1,0.44,0.4394,0.62,0.1343,21,114,135,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7197,2011-11-01,4,0,11,11,0,2,1,1,0.46,0.4545,0.63,0.1045,16,101,117,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7198,2011-11-01,4,0,11,12,0,2,1,1,0.5,0.4848,0.48,0.0896,23,153,176,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7199,2011-11-01,4,0,11,13,0,2,1,1,0.48,0.4697,0.55,0.194,20,147,167,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7200,2011-11-01,4,0,11,14,0,2,1,1,0.5,0.4848,0.48,0.2537,32,118,150,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7201,2011-11-01,4,0,11,15,0,2,1,1,0.5,0.4848,0.45,0.1343,38,148,186,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7202,2011-11-01,4,0,11,16,0,2,1,1,0.48,0.4697,0.44,0.1642,46,252,298,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7203,2011-11-01,4,0,11,17,0,2,1,1,0.44,0.4394,0.54,0.1642,36,470,506,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7204,2011-11-01,4,0,11,18,0,2,1,1,0.42,0.4242,0.58,0.1045,39,421,460,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7205,2011-11-01,4,0,11,19,0,2,1,1,0.42,0.4242,0.58,0.0896,39,274,313,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7206,2011-11-01,4,0,11,20,0,2,1,1,0.4,0.4091,0.71,0.0,18,191,209,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7207,2011-11-01,4,0,11,21,0,2,1,1,0.36,0.3788,0.81,0.0,13,114,127,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7208,2011-11-01,4,0,11,22,0,2,1,1,0.36,0.3788,0.81,0.0,5,91,96,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7209,2011-11-01,4,0,11,23,0,2,1,1,0.34,0.3636,0.87,0.0,11,61,72,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7210,2011-11-02,4,0,11,0,0,3,1,1,0.32,0.3485,0.87,0.0,0,19,19,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7211,2011-11-02,4,0,11,1,0,3,1,1,0.3,0.3333,0.87,0.0,2,8,10,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7212,2011-11-02,4,0,11,2,0,3,1,1,0.3,0.3333,0.87,0.0,0,2,2,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7213,2011-11-02,4,0,11,3,0,3,1,1,0.3,0.3333,0.75,0.0,0,2,2,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7214,2011-11-02,4,0,11,4,0,3,1,1,0.3,0.3333,0.87,0.0,0,4,4,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7215,2011-11-02,4,0,11,5,0,3,1,1,0.3,0.3333,0.81,0.0,0,27,27,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7216,2011-11-02,4,0,11,6,0,3,1,1,0.3,0.3333,0.81,0.0,1,91,92,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7217,2011-11-02,4,0,11,7,0,3,1,1,0.3,0.3333,0.81,0.0,11,240,251,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7218,2011-11-02,4,0,11,8,0,3,1,1,0.32,0.3485,0.87,0.0,20,452,472,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7219,2011-11-02,4,0,11,9,0,3,1,1,0.34,0.3636,0.87,0.0,15,213,228,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7220,2011-11-02,4,0,11,10,0,3,1,1,0.4,0.4091,0.71,0.0896,25,108,133,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7221,2011-11-02,4,0,11,11,0,3,1,1,0.42,0.4242,0.71,0.1343,27,117,144,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7222,2011-11-02,4,0,11,12,0,3,1,1,0.46,0.4545,0.55,0.1642,32,157,189,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7223,2011-11-02,4,0,11,13,0,3,1,1,0.48,0.4697,0.48,0.1642,22,139,161,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7224,2011-11-02,4,0,11,14,0,3,1,1,0.5,0.4848,0.45,0.1642,40,132,172,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7225,2011-11-02,4,0,11,15,0,3,1,1,0.48,0.4697,0.51,0.1642,26,161,187,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7226,2011-11-02,4,0,11,16,0,3,1,1,0.48,0.4697,0.51,0.1045,35,231,266,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7227,2011-11-02,4,0,11,17,0,3,1,1,0.44,0.4394,0.62,0.194,30,523,553,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7228,2011-11-02,4,0,11,18,0,3,1,1,0.42,0.4242,0.71,0.1642,31,448,479,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7229,2011-11-02,4,0,11,19,0,3,1,1,0.4,0.4091,0.76,0.1343,25,257,282,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7230,2011-11-02,4,0,11,20,0,3,1,1,0.4,0.4091,0.66,0.1343,5,177,182,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7231,2011-11-02,4,0,11,21,0,3,1,1,0.38,0.3939,0.71,0.1343,13,155,168,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7232,2011-11-02,4,0,11,22,0,3,1,1,0.36,0.3485,0.71,0.1343,7,99,106,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7233,2011-11-02,4,0,11,23,0,3,1,1,0.36,0.3636,0.76,0.0896,3,54,57,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7234,2011-11-03,4,0,11,0,0,4,1,1,0.36,0.3636,0.76,0.0896,3,28,31,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7235,2011-11-03,4,0,11,1,0,4,1,1,0.34,0.3333,0.81,0.1343,3,12,15,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7236,2011-11-03,4,0,11,2,0,4,1,1,0.34,0.3333,0.76,0.1343,2,5,7,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7237,2011-11-03,4,0,11,3,0,4,1,1,0.34,0.3333,0.81,0.1343,1,4,5,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7238,2011-11-03,4,0,11,4,0,4,1,1,0.32,0.3333,0.81,0.0896,1,3,4,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7239,2011-11-03,4,0,11,5,0,4,1,1,0.32,0.3333,0.81,0.1343,1,27,28,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7240,2011-11-03,4,0,11,6,0,4,1,1,0.34,0.3333,0.76,0.194,3,96,99,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7241,2011-11-03,4,0,11,7,0,4,1,2,0.32,0.3333,0.81,0.0896,12,280,292,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7242,2011-11-03,4,0,11,8,0,4,1,2,0.34,0.3485,0.81,0.0896,8,394,402,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7243,2011-11-03,4,0,11,9,0,4,1,2,0.36,0.3485,0.81,0.194,9,155,164,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7244,2011-11-03,4,0,11,10,0,4,1,2,0.4,0.4091,0.76,0.194,12,98,110,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7245,2011-11-03,4,0,11,11,0,4,1,1,0.44,0.4394,0.67,0.194,12,108,120,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7246,2011-11-03,4,0,11,12,0,4,1,1,0.5,0.4848,0.51,0.194,17,162,179,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7247,2011-11-03,4,0,11,13,0,4,1,2,0.52,0.5,0.48,0.2537,19,150,169,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7248,2011-11-03,4,0,11,14,0,4,1,1,0.52,0.5,0.52,0.1642,32,120,152,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7249,2011-11-03,4,0,11,15,0,4,1,1,0.52,0.5,0.52,0.1642,24,138,162,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7250,2011-11-03,4,0,11,16,0,4,1,1,0.52,0.5,0.48,0.194,33,234,267,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7251,2011-11-03,4,0,11,17,0,4,1,1,0.48,0.4697,0.55,0.0896,33,465,498,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7252,2011-11-03,4,0,11,18,0,4,1,1,0.46,0.4545,0.63,0.1343,24,409,433,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7253,2011-11-03,4,0,11,19,0,4,1,1,0.44,0.4394,0.67,0.0896,18,234,252,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7254,2011-11-03,4,0,11,20,0,4,1,1,0.42,0.4242,0.71,0.1045,11,198,209,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7255,2011-11-03,4,0,11,21,0,4,1,1,0.4,0.4091,0.76,0.1343,4,140,144,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7256,2011-11-03,4,0,11,22,0,4,1,1,0.4,0.4091,0.82,0.0,21,116,137,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7257,2011-11-03,4,0,11,23,0,4,1,1,0.4,0.4091,0.82,0.0896,15,80,95,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7258,2011-11-04,4,0,11,0,0,5,1,2,0.4,0.4091,0.82,0.0,11,32,43,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7259,2011-11-04,4,0,11,1,0,5,1,2,0.4,0.4091,0.82,0.0,1,16,17,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7260,2011-11-04,4,0,11,2,0,5,1,2,0.4,0.4091,0.76,0.0,2,8,10,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7261,2011-11-04,4,0,11,3,0,5,1,2,0.38,0.3939,0.87,0.1642,1,7,8,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7262,2011-11-04,4,0,11,4,0,5,1,2,0.38,0.3939,0.87,0.0896,1,6,7,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7263,2011-11-04,4,0,11,5,0,5,1,2,0.38,0.3939,0.87,0.0,0,23,23,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7264,2011-11-04,4,0,11,6,0,5,1,2,0.38,0.3939,0.87,0.0896,2,64,66,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7265,2011-11-04,4,0,11,7,0,5,1,2,0.4,0.4091,0.86,0.2239,10,235,245,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7266,2011-11-04,4,0,11,8,0,5,1,2,0.4,0.4091,0.87,0.3582,8,387,395,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7267,2011-11-04,4,0,11,9,0,5,1,2,0.42,0.4242,0.71,0.4627,15,239,254,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7268,2011-11-04,4,0,11,10,0,5,1,2,0.42,0.4242,0.71,0.3284,19,115,134,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7269,2011-11-04,4,0,11,11,0,5,1,2,0.44,0.4394,0.67,0.4478,34,128,162,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7270,2011-11-04,4,0,11,12,0,5,1,2,0.48,0.4697,0.55,0.4925,44,153,197,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
7271,2011-11-04,4,0,11,13,0,5,1,1,0.44,0.4394,0.51,0.4179,33,161,194,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7272,2011-11-04,4,0,11,14,0,5,1,1,0.44,0.4394,0.47,0.2985,54,147,201,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7273,2011-11-04,4,0,11,15,0,5,1,1,0.46,0.4545,0.44,0.3881,45,192,237,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7274,2011-11-04,4,0,11,16,0,5,1,1,0.46,0.4545,0.36,0.3881,53,237,290,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7275,2011-11-04,4,0,11,17,0,5,1,1,0.42,0.4242,0.38,0.3582,42,438,480,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7276,2011-11-04,4,0,11,18,0,5,1,1,0.42,0.4242,0.32,0.4627,35,339,374,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7277,2011-11-04,4,0,11,19,0,5,1,1,0.4,0.4091,0.37,0.3582,14,182,196,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7278,2011-11-04,4,0,11,20,0,5,1,1,0.36,0.3333,0.43,0.2836,15,171,186,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7279,2011-11-04,4,0,11,21,0,5,1,1,0.34,0.3182,0.46,0.2537,8,115,123,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7280,2011-11-04,4,0,11,22,0,5,1,1,0.34,0.303,0.46,0.3284,6,109,115,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7281,2011-11-04,4,0,11,23,0,5,1,1,0.32,0.303,0.49,0.3284,17,72,89,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
7282,2011-11-05,4,0,11,0,0,6,0,1,0.32,0.2879,0.45,0.3582,4,48,52,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7283,2011-11-05,4,0,11,1,0,6,0,1,0.32,0.303,0.45,0.2985,5,57,62,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7284,2011-11-05,4,0,11,2,0,6,0,1,0.3,0.2727,0.52,0.3284,7,24,31,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7285,2011-11-05,4,0,11,3,0,6,0,1,0.3,0.2727,0.52,0.2985,0,8,8,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7286,2011-11-05,4,0,11,4,0,6,0,1,0.28,0.2576,0.56,0.3284,3,5,8,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7287,2011-11-05,4,0,11,5,0,6,0,1,0.26,0.2273,0.6,0.3284,0,2,2,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7288,2011-11-05,4,0,11,6,0,6,0,1,0.26,0.2424,0.6,0.2537,3,20,23,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7289,2011-11-05,4,0,11,7,0,6,0,1,0.26,0.2424,0.6,0.2836,3,31,34,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7290,2011-11-05,4,0,11,8,0,6,0,1,0.28,0.2576,0.56,0.3284,4,80,84,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7291,2011-11-05,4,0,11,9,0,6,0,1,0.3,0.2727,0.56,0.2985,30,111,141,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7292,2011-11-05,4,0,11,10,0,6,0,1,0.32,0.303,0.53,0.2537,56,171,227,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7293,2011-11-05,4,0,11,11,0,6,0,1,0.36,0.3636,0.46,0.1045,69,169,238,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7294,2011-11-05,4,0,11,12,0,6,0,1,0.36,0.3485,0.46,0.1642,137,235,372,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7295,2011-11-05,4,0,11,13,0,6,0,1,0.4,0.4091,0.37,0.1045,148,207,355,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7296,2011-11-05,4,0,11,14,0,6,0,1,0.42,0.4242,0.35,0.1343,159,227,386,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7297,2011-11-05,4,0,11,15,0,6,0,1,0.4,0.4091,0.37,0.194,141,202,343,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7298,2011-11-05,4,0,11,16,0,6,0,1,0.4,0.4091,0.4,0.2239,128,207,335,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7299,2011-11-05,4,0,11,17,0,6,0,1,0.38,0.3939,0.4,0.1642,100,234,334,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7300,2011-11-05,4,0,11,18,0,6,0,1,0.36,0.3636,0.5,0.0896,52,185,237,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7301,2011-11-05,4,0,11,19,0,6,0,1,0.34,0.3636,0.53,0.0,45,159,204,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7302,2011-11-05,4,0,11,20,0,6,0,1,0.32,0.3485,0.66,0.0,29,136,165,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7303,2011-11-05,4,0,11,21,0,6,0,1,0.32,0.3485,0.66,0.0,19,99,118,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7304,2011-11-05,4,0,11,22,0,6,0,1,0.3,0.3333,0.65,0.0,10,72,82,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
7305,2011-11-05,4,0,11,23,0,6,0,1,0.28,0.3182,0.7,0.0,4,81,85,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
